0082.jpg,1686.0,1100.0,1598.0,1014.0,1774.0,1186.0
0083.jpg,1486.0,1045.0,1402.0,963.0,1570.0,1127.0
0084.jpg,1231.5,1116.5,1135.0,1018.0,1328.0,1215.0
0085.jpg,1201.0,979.5,1126.0,906.0,1276.0,1053.0
0087.jpg,1468.0,1016.0,1367.0,911.0,1569.0,1121.0
0088.jpg,1250.0,1119.5,1150.0,1018.0,1350.0,1221.0
0089.jpg,1474.5,1033.5,1368.0,926.0,1581.0,1141.0
0090.jpg,1662.0,1095.0,1566.0,996.0,1758.0,1194.0
0091.jpg,1466.0,1034.5,1363.0,926.0,1569.0,1143.0
0092.jpg,1700.5,1104.5,1611.0,1015.0,1790.0,1194.0
0093.jpg,1700.0,1156.0,1607.0,1059.0,1793.0,1253.0
0094.jpg,1451.0,1035.0,1363.0,949.0,1539.0,1121.0
0095.jpg,1676.5,1100.5,1589.0,1015.0,1764.0,1186.0
0096.jpg,1710.0,1075.0,1602.0,966.0,1818.0,1184.0
0097.jpg,1500.0,1209.5,1406.0,1118.0,1594.0,1301.0
0098.jpg,1473.5,1063.5,1369.0,959.0,1578.0,1168.0
0099.jpg,1460.5,1026.0,1361.0,924.0,1560.0,1128.0
0100.jpg,1690.5,1100.0,1596.0,1009.0,1785.0,1191.0
